feature,raw_avg,processed_avg
chars,380.47922790515383,412.1723495982755
words,85.42984518910446,82.78659611992946
sentences,4.731726435430139,5.170487948265726
emojis,0.5836762688614541,0.09122085048010974
emoticons,0.279737409367039,0.0005878894767783657
urls,0.0007838526357044876,0.0
emails,0.0,0.0
mentions,0.0013717421124828531,0.0001959631589261219
repeated_chars,0.42308446012149714,0.013717421124828532
teencode,1.1469723691945914,0.7715069566921419
english_tokens,12.304820693709583,6.6107191847932585
phrase_hits,1.710660395845581,0.08495002939447384
