dataset,chars,words,sentences,emojis,emoticons,urls,emails,mentions,repeated_chars,teencode,english_tokens,phrase_hits
processed,493,106,11,0,0,0,0,0,0,0,8,0
processed,607,123,10,0,0,0,0,0,0,0,10,0
processed,161,31,1,0,0,0,0,0,0,0,5,0
processed,73,15,2,0,0,0,0,0,0,0,0,0
processed,55,12,1,0,0,0,0,0,0,0,3,0
processed,305,57,5,0,0,0,0,0,0,1,6,0
processed,428,88,5,0,0,0,0,0,0,4,6,0
processed,655,122,5,0,0,0,0,0,0,0,5,0
processed,295,62,7,0,0,0,0,0,0,1,6,0
processed,192,46,2,0,0,0,0,0,0,0,3,0
processed,485,89,6,0,0,0,0,0,0,2,4,0
processed,2040,439,20,0,0,0,0,0,0,0,29,0
processed,443,77,8,0,0,0,0,0,0,0,3,0
processed,204,49,3,0,0,0,0,0,0,4,6,0
processed,466,98,14,0,0,0,0,0,0,1,12,0
processed,230,47,3,0,0,0,0,0,0,0,2,0
processed,373,76,9,0,0,0,0,0,0,0,8,1
processed,786,174,8,0,0,0,0,0,0,1,11,0
processed,488,102,12,0,0,0,0,0,0,4,19,0
processed,826,157,4,6,0,0,0,0,0,1,4,0
processed,506,98,1,0,0,0,0,0,0,1,8,0
processed,117,24,3,0,0,0,0,0,0,1,0,0
processed,271,52,3,0,0,0,0,0,0,1,3,0
processed,649,117,3,0,0,0,0,0,0,1,10,0
processed,260,50,3,0,0,0,0,0,0,1,8,0
processed,189,41,3,0,0,0,0,0,0,2,2,0
processed,8,2,1,0,0,0,0,0,0,0,1,0
processed,503,99,7,0,0,0,0,0,0,0,7,0
processed,190,38,1,0,0,0,0,0,0,0,2,0
processed,521,103,14,0,0,0,0,0,0,1,6,0
processed,319,57,3,0,0,0,0,0,0,0,4,0
processed,253,46,3,0,0,0,0,0,0,0,3,0
processed,268,56,7,0,0,0,0,0,0,2,1,0
processed,210,41,4,0,0,0,0,0,0,1,4,0
processed,901,168,11,0,0,0,0,0,0,0,9,0
processed,282,51,5,0,0,0,0,0,0,0,3,0
processed,194,30,1,0,0,0,0,0,0,1,4,0
processed,63,12,1,0,0,0,0,0,0,0,1,0
processed,193,40,1,0,0,0,0,0,0,0,3,0
processed,38,8,1,0,0,0,0,0,0,0,3,0
processed,566,113,3,0,0,0,0,0,0,0,11,0
processed,233,35,1,0,0,0,0,0,0,0,3,0
processed,100,19,1,0,0,0,0,0,0,0,3,0
processed,1227,256,9,0,0,0,0,0,0,1,9,0
processed,352,65,3,0,0,0,0,0,0,0,4,0
processed,281,58,4,0,0,0,0,0,0,2,3,0
processed,149,30,3,0,0,0,0,0,0,0,2,0
processed,319,70,3,0,0,0,0,0,0,1,4,0
processed,302,65,5,0,0,0,0,0,0,0,5,0
processed,35,9,1,0,0,0,0,0,0,0,1,0
processed,422,82,10,0,0,0,0,0,0,0,8,0
processed,160,32,2,0,0,0,0,0,0,0,2,0
processed,104,20,1,0,0,0,0,0,0,0,1,0
processed,566,124,9,0,0,0,0,0,0,0,5,0
processed,88,19,1,0,0,0,0,0,0,0,2,0
processed,346,64,1,0,0,0,0,0,1,0,4,0
processed,276,54,6,0,0,0,0,0,0,1,5,0
processed,1945,389,17,0,0,0,0,0,0,0,27,0
processed,642,136,5,0,0,0,0,0,0,0,12,0
processed,494,101,4,0,0,0,0,0,0,3,5,0
processed,276,60,9,0,0,0,0,0,0,0,8,0
processed,352,68,2,1,0,0,0,0,0,2,3,0
processed,147,28,2,0,0,0,0,0,0,0,2,0
processed,90,21,3,0,0,0,0,0,0,0,2,0
processed,1207,254,15,0,0,0,0,0,0,4,24,0
processed,458,95,5,0,0,0,0,0,0,1,7,0
processed,144,28,3,0,0,0,0,0,0,0,2,0
processed,282,52,4,0,0,0,0,0,0,0,4,0
processed,205,45,3,0,0,0,0,0,0,0,5,0
processed,368,75,6,0,0,0,0,0,0,0,8,0
processed,168,31,2,0,0,0,0,0,0,0,6,0
processed,574,120,6,0,0,0,0,0,0,0,9,0
processed,265,58,4,0,0,0,0,0,0,1,3,0
processed,101,18,1,0,0,0,0,0,0,0,1,0
processed,487,102,6,0,0,0,0,0,0,2,8,0
processed,233,43,5,0,0,0,0,0,0,0,5,0
processed,756,147,7,0,0,0,0,0,0,1,11,0
processed,683,148,11,0,0,0,0,0,0,1,11,0
processed,303,52,3,0,0,0,0,0,0,1,3,0
processed,524,104,7,0,0,0,0,0,0,1,2,0
processed,296,57,5,0,0,0,0,0,0,0,3,0
processed,645,132,7,0,0,0,0,0,0,3,12,0
processed,134,21,2,0,0,0,0,0,0,0,0,0
processed,47,12,1,0,0,0,0,0,0,0,0,0
processed,199,43,4,0,0,0,0,0,0,0,4,0
processed,819,168,7,0,0,0,0,0,0,1,8,0
processed,222,39,4,0,0,0,0,0,0,0,2,0
processed,185,40,1,0,0,0,0,0,0,1,4,0
processed,33,4,1,0,0,0,0,0,0,0,0,1
processed,987,205,8,0,0,0,0,0,0,1,24,0
processed,573,121,12,0,0,0,0,0,0,0,12,0
processed,1420,224,18,0,0,0,0,0,2,1,19,0
processed,149,34,1,0,0,0,0,0,0,0,2,0
processed,262,44,3,0,0,0,0,0,0,0,3,0
processed,516,108,7,0,0,0,0,0,0,0,12,0
processed,391,81,6,0,0,0,0,0,0,0,7,0
processed,664,138,5,0,0,0,0,0,0,3,9,2
processed,174,40,4,0,0,0,0,0,0,0,9,0
processed,157,32,3,0,0,0,0,0,0,1,6,0
processed,34,9,2,0,0,0,0,0,0,0,1,0
processed,1222,238,11,0,0,0,0,0,0,2,14,0
processed,804,137,6,0,0,0,0,0,0,0,12,1
processed,484,106,5,0,0,0,0,0,0,1,6,0
processed,148,33,1,0,0,0,0,0,0,1,1,0
processed,298,55,1,0,0,0,0,0,0,0,7,0
processed,520,99,6,0,0,0,0,0,0,0,6,0
processed,106,21,1,0,0,0,0,0,0,0,0,0
processed,1765,366,13,0,0,0,0,0,0,0,30,0
processed,502,98,4,0,0,0,0,0,0,0,9,0
processed,818,164,15,0,0,0,0,0,0,1,7,0
processed,428,73,3,0,0,0,0,0,0,0,6,0
processed,574,113,12,0,0,0,0,0,0,0,9,0
processed,407,80,6,1,0,0,0,0,0,0,7,0
processed,515,108,4,0,0,0,0,0,0,1,9,0
processed,461,98,4,0,0,0,0,0,0,1,9,0
processed,1378,284,11,0,0,0,0,0,0,7,20,0
processed,132,31,1,0,0,0,0,0,0,1,3,0
processed,4,1,1,0,0,0,0,0,0,0,0,0
processed,207,47,3,0,0,0,0,0,0,1,2,0
processed,193,42,4,0,0,0,0,0,0,1,2,0
processed,275,54,4,0,0,0,0,0,0,1,2,0
processed,76,19,2,0,0,0,0,0,0,0,3,0
