dataset,chars,words,sentences,emojis,emoticons,urls,emails,mentions,repeated_chars,teencode,english_tokens,phrase_hits
raw,462,107,9,0,0,0,0,0,1,0,17,1
raw,551,122,10,1,0,0,0,0,1,0,15,2
raw,144,31,1,0,1,0,0,0,0,0,7,1
raw,66,15,2,0,0,0,0,0,0,0,3,0
raw,54,12,1,0,0,0,0,0,0,0,3,0
raw,290,56,5,0,0,0,0,0,0,0,9,2
raw,338,87,5,4,0,0,0,0,0,1,9,1
raw,623,123,5,0,0,0,0,0,0,0,14,3
raw,262,64,7,1,0,0,0,0,0,0,7,0
raw,185,46,2,0,0,0,0,0,0,0,3,0
raw,460,90,6,0,0,0,0,0,0,2,17,0
raw,1965,464,19,0,0,0,0,0,1,0,45,3
raw,426,78,5,0,0,0,0,0,1,0,13,2
raw,194,51,3,0,0,0,0,0,0,1,9,0
raw,443,105,14,0,0,0,0,0,1,2,16,5
raw,219,48,3,0,0,0,0,0,0,1,6,1
raw,331,76,9,1,0,0,0,0,0,1,14,1
raw,755,176,5,0,0,0,0,0,1,0,13,1
raw,424,107,11,1,0,0,0,0,0,3,30,2
raw,655,155,4,8,0,0,0,0,2,3,23,1
raw,402,100,1,4,0,0,0,0,1,2,11,1
raw,114,24,3,0,0,0,0,0,0,0,2,1
raw,209,52,3,1,0,0,0,0,1,3,4,0
raw,584,124,3,3,2,0,0,0,0,0,19,2
raw,247,54,3,0,0,0,0,0,0,2,12,0
raw,175,40,3,0,1,0,0,0,1,1,2,2
raw,8,2,1,0,0,0,0,0,0,0,1,0
raw,468,104,7,1,1,0,0,0,1,2,16,2
raw,185,41,1,0,0,0,0,0,0,0,4,4
raw,487,108,12,0,0,0,0,0,1,0,14,4
raw,267,61,3,1,0,0,0,0,1,3,14,1
raw,208,45,3,1,1,0,0,0,2,0,4,0
raw,236,55,5,1,0,0,0,0,0,0,3,1
raw,199,43,4,0,0,0,0,0,0,1,7,0
raw,859,171,10,0,1,0,0,0,0,0,23,5
raw,251,51,5,1,0,0,0,0,0,1,11,0
raw,161,35,1,1,0,0,0,0,0,3,8,1
raw,57,15,1,0,0,0,0,0,0,1,2,1
raw,187,43,1,0,0,0,0,0,0,1,3,2
raw,37,8,1,0,0,0,0,0,0,0,3,0
raw,512,115,3,0,1,0,0,0,0,5,16,1
raw,180,36,1,2,0,0,0,0,6,0,5,1
raw,80,18,1,1,0,0,0,0,0,0,5,1
raw,1166,262,9,0,0,0,0,0,0,0,22,3
raw,323,64,3,0,0,0,0,0,0,0,13,3
